python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
female,英 [fi:mel]美 [ fimel],adj. 女性的; 雌性的; 能结果实的; 电气设备阴的; n. 女人; 雌性动物; 雌性植物，雌株
traversal,英 [tr'v:sl]美 ['trvsl],n. 横越，横断物，（横向）往返移动;
trigger,英 [trg(r)]美 [trɡ],n. （枪）扳机; 起动装置，扳柄; 引发其他事件的一件事; [电子学]触发器，触发电器; vt. 
james,英 [deimz]美 [demz],n. 詹姆士;
impact,英 [mpkt]美 [mpkt],n. 影响; 碰撞，冲击，撞击; 冲击力; vt. 撞击; 挤入，压紧; 对…产生影响; vi. 产
implied,英 [m'plad]美 [m'plad],adj. 暗指的，含蓄的; v. 暗示，暗指( imply的过去式和过去分词 ); 必然包含; 说明
meet,英 [mi:t]美 [mit],vt.& vi. 相遇; 相识; 开会; 接触（某物）; vt. 满足; 迎接; 支付; 经历（常指
decision,英 [dsn]美 [dsn],n. 决定; 决议; 果断; （法院的）判决; vt. [口语][拳击]靠判定击败（对手）;
delegation,英 [delgen]美 [dlɡen],n. 授权; 委派; 代表（团）;
pack,英 [pk]美 [pk],n. 包裹; 一群; （纸牌的）一副; 一组; vt.& vi. （把…）打包; 塞进; 拥进; （
obvious,英 [bvis]美 [ɑbvis],adj. 明显的; 显著的; 平淡无奇的; 自明;
duck,英 [dk]美 [dk],n. 鸭肉; 鸭子，野鸭; （表示友好的称呼）乖乖; （板球）零分; vt.& vi. 躲避，回避;
em,英 [em]美 [m],n. 全身，行长单位; adj. 全身长（或宽）的（印刷符号）;
quote,英 [kwt]美 [kwot],vt.& vi. 引述，引用; vt. 报价; 引述; vi. 引用; n. 报价; 引用; 引号;
terry,英 [teri]美 [tri],n. 毛巾布; （用以做毛巾的）毛圈棉织物;
indented,英 [ndentd]美 [ndntd],adj. 锯齿状的; （印刷，原稿等）缩进排印的; 受契约约束的; v. 切割…使呈锯齿状( ind
explain,英 [ksplen]美 [ksplen],vt.& vi. 讲解，解释; vt. 说明…的原因，辩解; vi. 说明，解释，辩解;
collision,英 [kln]美 [kln],n. 碰撞; 冲突; （意见，看法）的抵触; （政党等的）倾轧;
indent,英 [ndent]美 [ndent],vt. 切割…使呈锯齿状; 缩进排版; n. （印刷中的）缩进; 订单，订购;
cos,"英 [ks]美 [ks, kɑs]",n. 余弦; 动漫角色扮演; 以太网上用服务类别; Certificate of Suitabili
imaginary,英 [mdnri]美 [mdneri],adj. 幻; 虚幻; 想像中的，假想的，虚构的; [数]虚数的;
annotate,英 [ntet]美 [notet],vt.& vi. 注解，注释; n. 注释者;
util,英 [j'tl]美 [j'tl],n. 跑龙套;
scene,英 [si:n]美 [sin],n. 场面，现场; （戏剧的）一场; 景色，风景; 事件;
identify,英 [adentfa]美 [adntfa],vt. 确定; 识别，认出; 使参与; 把…看成一样; vi. 确定; 认同;
binding,英 [band]美 [band],n. 捆绑; （衣服等的）镶边; 粘合剂; 书籍的封面; adj. 捆绑的; 粘合的; （书面材料）
minute,英 ['mnt]美 [mnt],n. 分，分钟; 瞬间，片刻; 备忘录; 会议记录; vt. 把…记录在案; 为…测定时间; adj
augmented,英 [:g'mentd]美 [g'mentd],adj. 增音的，扩张的;
photography,英 [ftgrfi]美 [ftɑgrfi],n. 摄影，摄影术; 一组照片;
seek,英 [si:k]美 [sik],vt. 寻找，探寻; 追求，谋求; 往或朝…而去; [废语]考察; vi. 查找，查寻; 找一找;
tombola,英 [tmbl]美 [tɑmbol],n. 纸牌赌博;
human,英 [hju:mn]美 [hjumn],n. 人，人类; adj. 人的; 有人性的; 显示人类特有弱点的; 人本性的;
lives,英 [lavz]美 [lavz],n. 生命; 一生; 生命(life的复数); 生物，活物; 生活( life的名词复数 ); 生活
checkout,英 [tekat]美 [tkat],n. 结帐; 检验，校验;
adder,英 [d(r)]美 [d],n. 加法器，（欧洲产）蝰蛇（小毒蛇），（北美产无毒的）猪鼻蛇;
median,英 [mi:din]美 [midin],adj. 中间的; 中央的; [数]中值的; n. 中位数; 中线; [数]中值;
scientific,英 [santfk]美 [santfk],adj. 科学的; 有系统的; 应用科学的; 精通学理的，有学问的;
differ,英 [df(r)]美 [df],vi. 不同，相异; 不同意，意见相左; 争吵;
lang,英 [l]美 [l],adj. <苏格兰>长的，很久的，冗长的;
tar,英 [tɑ:(r)]美 [tɑr],n. 焦油，沥青，柏油; 尼古丁; <口>水手，水兵; vt. 以焦油或沥青覆盖或涂抹（某物）;
unbound,英 ['n'band]美 [nband],adj. 无束缚的; <正>不负有义务的; v. 解开，解放( unbind的过去式和过去分词 );
syntactic,英 [sntktk]美 [sntktk],adj. 句法的;
hour,英 [a(r)]美 [ar],n. 小时，钟头; 时间，时刻; 固定时间; 课时;
exclude,英 [ksklu:d]美 [k'sklud],vt. 排斥; 排除，不包括; 驱除，赶出;
spark,英 [spɑ:k]美 [spɑrk],n. 电火花; 燃烧的颗粒; 火星，火花，余火; （金属的）发光的颗粒; vi. 发出火星，发出闪光
showing,英 []美 [o],n. 放映; （电影、电视节目等的）展映; （在某事件中或某一期间的）表现; 表演; v. 表现出;
triangle,英 [tragl]美 [traɡl],n. 三角形; 三人一组; 三角铁; 三角板;
marked,英 [mɑ:kt]美 [mɑrkt],adj. 显著的，著名的; 有记号的; 加印记的; 受监视的; v. 表示(mark的过去分词); 
ar,英 [ɑ:]美 [ɑr],abbr. Argentina 阿根廷; Army Regulation 陆军条例;
bear,英 [be(r)]美 [ber],n. 熊; （在证券市场等）卖空的人; 蛮横的人; vt. 承担; 忍受; 支撑; 生育; vi. 
fish,英 [f]美 [f],n. 鱼，鱼肉，鱼类; 〈口〉（特殊的）人物，家伙，东西; [建]接合板，夹片，鱼尾板; [航]钓锚
mime,英 [mam]美 [mam],n. 笑剧，笑剧演员; 笑剧的表演对白; 滑稽演员; 哑剧，哑剧演员; vt. 模仿; 模拟; vi
la,英 [lɑ:]美 [lɑ],abbr. Lao People's Republic 老挝人民共和国;
interest,"英 [ntrst]美 [ntrst, -trst, -trst]",n. 利息; 兴趣，爱好; 利害关系，利益; 趣味，感兴趣的事; vt. 使产生兴趣; 使参与，使加
cloud,英 [klad]美 [klad],n. 云; 云状物; 一团; 阴影; vi. 布满云; 显得阴沉; 看起来忧愁）; vt. 使难以理
realistic,英 [ri:lstk]美 [rilstk],adj. 现实的; 逼真的; [艺] 现实主义的，[哲]实在论（者）的; 栩栩如生的;
ret,英 [ret]美 [ret],v. 浸水使柔软，受潮湿腐烂;
anonymous,英 [nnms]美 [nɑnms],adj. 匿名的; 无名的; 假名的; 没有特色的;
md,英 [em'di:]美 [em'di],abbr. DOS命令：建立一个新的子目录; Moldova 摩尔多瓦;
finance,"英 [fanns]美 [fnns, fa-, fanns]",n. 金融; 财政; 资金; 财源; vt. 为…供给资金， 从事金融活动; 赊货给…; 掌握财政;
christianity,"英 [krstinti]美 [krstinti, krsti-]",n. 基督教; 基督教教义; 基督教徒;
identical,英 [adentkl]美 [adntkl],adj. 同一的; 完全同样的，相同的; 恒等的; 同卵的; n. 完全相同的事物; 同卵双胞;
backward,英 [bkwd]美 [bkwrd],adj. 落后的; 向后的; 反向的; 怯生生的; adv. 向后地; 相反地; 回溯地;
delimiter,英 [d'lmt]美 [d'lmt],n. 定界符，分隔符;
turtle,英 [t:tl]美 [trtl],n. [动]龟; [动]海龟; vi. 捕海龟，捕鳖; （船等）翻没，倾覆;
compress,英 [kmpres]美 [kmprs],vt. 压缩; 压紧; 精简; n. 止血敷布; 打包机;
embed,英 [m'bed]美 [mbd],vt.&vi. 把…嵌入; 栽种; 深留（记忆中）;
chap,英 [tp]美 [tp],n. 小伙子，小家伙，家伙; vt.& vi. （使）疼痛，变粗糙，皲裂;
deployment,英 [d'plmnt]美 [dplmnt],n. 部署; 调度;
dob,英 [db]美 [dɑb],abbr. date of birth 生日; degree of bend(ing) 曲度;
declared,英 [dkled]美 [dklerd],adj. 公告的，公然的; v. 宣布( declare的过去式和过去分词 ); 断言; 申报（收益
concatenate,英 [kn'ktnet]美 [kɑnkt()net],vt. 把 （一系列事件、事情等）联系起来; adj. 连接的，联系在一起的;
rehash,英 [ri:h]美 [rih],vt. 改头换面; n. 用旧材料改编成的作品; 一味的重复;
developing,英 [dvelp]美 [dvlp],adj. 开发; 发展中的; 显色; 显像;
probing,英 [prb]美 [prob],adj. 探索的; 寻根究底的; 寻求真理的; （问题）深入锐利的; v. 探索，用探针（或探测器等
family,英 [fmli]美 [fmli],n. 家庭; 家族; 孩子; 祖先; adj. 家庭的; 一家所有的; 属于家庭的; 适合全家人的;
apt,英 [pt]美 [pt],adj. 恰当的，适当的; 有…倾向的; 易于…的; 聪明的，灵巧的; abbr. (=automa
procedure,英 [prsi:d(r)]美 [prsid],n. 程序，手续; 工序，过程，步骤; 诉讼程序，（议会的）议事程序; 〈罕〉进行;
talent,英 [tlnt]美 [tlnt],n. 天资，才能; 天才，人才; 塔兰特，古代的一种计量单位，可用来记重量或作为货币单位; <旧，非
suit,英 [su:t]美 [sut],n. 诉讼; 一套外衣; 西装，套装; 恳求; vt. 适合于（某人）; 尤指服装、颜色等相配; 合
compound,英 [kmpand]美 [kɑmpand],n. 复合物; 场地; （筑有围墙的）院子; 复合词; vt. 调和; 使混合; 使严重; 调停; 
publication,英 [pblken]美 [pblken],n. 出版; 发表; 出版物; 公布;
beg,英 [beg]美 [bɡ],vt.& vi. 乞讨; 恳求（原谅）; 回避（问题）;
genre,英 ['r]美 [ɑnr],n. 类型，种类; 体裁，样式; 风俗画;
slash,英 [sl]美 [sl],vt. 大幅削减; 挥砍; 鞭打; 严厉批评; vi. 猛砍; 严厉地批评; n. 斜线; 猛砍; 
twice,英 [twas]美 [twas],adv. 两次; 两倍; 两遍;
union,英 [ju:nin]美 [junjn],n. 同盟，联盟; 协会，工会; 联合，团结; adj. 工会的;
develop,英 [dvelp]美 [dvlp],vi. 发展; 形成; 生长; 发达 ; vt. 发展; 开发; 研制; 冲洗（胶片）;
traditional,英 [trdnl]美 [trdnl],adj. 传统的; 口传的; 惯例的; 因袭的;
anywhere,英 [eniwe(r)]美 [eniwer],adv. 任何地方; 什么地方; 无论何处; 〈口〉（用于否定句〕根本(不）;
receiver,英 [rsi:v(r)]美 [rsiv],n. 接收器; 接受者，收款员; 无线电接收机; （破产公司的）官方接管人;
executor,"英 [gzekjt(r)]美 [ɡzkjt, kskjut]",n. 遗嘱执行人; 执行者; 实行者;
trick,英 [trk]美 [trk],n. 恶作剧; 戏法，把戏; 计谋，诀窍; 骗局; vt. 哄骗，欺骗; 打扮; adj. 弄虚作假
wizard,英 [wzd]美 [wzrd],n. 男巫; 奇才; 行家; 向导（程序）;
middle,英 [mdl]美 [midl],n. 中央; 中部，中间; 腰部; 正中; adj. 中间的; 中部的; 中央的; 正中的; vt.
insertion,英 [ns:n]美 [nsrn],n. 插入（物）;
origin,英 [rdn]美 [rdn],n. 出身; 起源，根源; [数]原点，起点; [解]（筋，神经的）起端;
den,英 [den]美 [dn],n. 书斋; 兽穴; 贼窝; 简陋污秽的小室; vi. 穴居; 藏到洞里; 进窝（冬眠）; 把…赶入
movie,英 [mu:vi]美 [muvi],n. 电影; 电影院; 电影业;
behaviour,英 [bhevj(r)]美 [bhevj],n. 行为; 举止; （人、动植物、化学药品等的）表现方式; 态度; na. “behavior”的
filling,英 [fl]美 [fl],n. 装满，填满; 填充物; （糕点内的）馅; （织品的）纬纱; v. 填满(fill的ing形式)
confirm,英 [knf:m]美 [knfrm],vt. 证实; [法]确认，批准; 使有效; 使巩固;
black,英 [blk]美 [blk],adj. 黑（色）的; 黑色人种的; 黑暗的; 不加牛奶的; n. 黑色; 黑人; 黑颜料; 黑暗;
balance,英 [blns]美 [blns],n. 平衡; 天平; 平衡力; （酿酒配料的）均衡; vt.& vi. 权衡; （使）平衡; （使）
valued,英 ['vlju:d]美 [vljud],adj. 经估价的; 宝贵的，受到尊重的; v. 重视; 评价; 估价( value的过去式和过去分
polygon,英 [plgn]美 [pɑligɑn],n. 多边形，多角形; 龟裂状;
decoder,英 [di:kd(r)]美 [dikod(r)],n. 解码器;
largely,英 [lɑ:dli]美 [lɑrdli],adv. 大部分地，主要地; 大规模地; 丰富地;
opening,英 [pn]美 [opn],n. 开幕，开始; 空缺的职位; [商]开盘，交易开始时间; （职位的）空缺; adj. 首次的，开
salary,"英 [slri]美 [slri, slri]",n. 薪水，薪金，薪俸; vt. 给…加薪; 给…薪水; 发…薪水; 付…薪水;
gaming,英 [gem]美 [ɡem],n. 赌博; 博奕;
scraping,英 [skrep]美 [skrep],n. 刮; 擦; 挖; 刮擦声; adj. 刮的; 吝啬的;
quality,英 [kwlti]美 [kwɑlti],n. 质量，品质; 美质，优点; 才能，能力，技能，素养; 品种; adj. 优质的，高质量的; 上
generation,英 [denren]美 [dnren],n. 产生; 一代人; 代（约30年），时代; 生殖;
palette,英 [plt]美 [plt],n. 调色板，颜料;
eye,英 [a]美 [a],n. 眼睛; 视力; 眼状物; 风纪扣扣眼; vt. 定睛地看; 注视; 审视; 细看;
hist,英 [hst]美 [hst],int. （唤人注意，禁止作声等场合用的字）嘘！;
twisted,英 [twstd]美 ['twstd],adj. （感情、欲望等）反常的，变态的; v. 扭转; 歪曲; 扭，搓，缠绕( twist的过去式
drive,英 [drav]美 [drav],v. 驱动; 开车; 驾驶; 迫使; n. 驱动器; 驱车旅行; 驱动力; 车道;
practical,英 [prktkl]美 [prktkl],adj. 实践的，实际的; 可实现的，实用的; 注重实际的; 可用的;
typical,英 [tpkl]美 [tpkl],adj. 典型的; 特有的或特别的; 代表性的;
restaurant,英 [restrnt]美 [restrɑnt],n. 餐馆; 饭店; 饭馆; 菜馆;
segment,英 [segmnt]美 [sɡmnt],n. 环节; 部分，段落; [计算机]（字符等的）分段; [动物学]节片; vt.&vi. 分割，划
raspberry,英 [rɑ:zbri]美 [rzberi],n. 悬钩子（树），覆盆子; 木莓（树）; 呸声，嘘声; [色彩] 紫红色;
slow,英 [sl]美 [slo],adj. 慢的; 迟钝的; 温和的; 慢于…的; adv. 慢慢地; 缓慢地; vt.& vi. （
retain,英 [rten]美 [rten],vt. 保持; 留在心中，记住; 雇用; 付定金保留;
preface,英 [prefs]美 [prefs],n. 序言，引语; 开端，前奏; [宗]（弥撒的）序诵，序祷; vi.&vt. 作序; 作为…的序言
zed,英 [zed]美 [zed],n. Z字母;
finished,英 [fnt]美 [fnt],adj. 完成了的; 技术高超的; 精湛的; 〈俚〉死了的，完蛋了的 v. 结束，完成( finis
regression,英 [rgren]美 [rɡrn],n. 回归; 衰退; （尤指因催眠或精神疾患，或为逃避目前忧虑）回到从前; （统计学） 回归;
optimization,英 [ptma'zen]美 [ɑptmzen],n. 最佳化，最优化; 优选法; 优化组合;
calculated,英 [klkjuletd]美 [klkjletd],adj. 计算出的; 有计划的; 适当的; 适合的; v. 计算(calculate的过去式和过去分
activity,英 [ktvti]美 [ktvti],n. 活动; 活跃，敏捷; 活动力; 教育活动;
guest,英 [gest]美 [ɡst],n. 客人; 旅客; 特邀嘉宾; [动]寄生虫; v. 做特邀嘉宾; 做客串; 做特约演员; adj
compressed,英 [km'prest]美 [kmprst],adj. 压缩的; <生>扁长形的; v. 压紧，压缩( compress的过去式和过去分词 ); 
prep,英 [prep]美 [prp],vi. 进入预备学校; 预备，准备; vt. 使预备好; n. 准备; 预备学校; 预备功课，家庭作
charlie,英 [tɑ:li]美 [tɑrli],n. <口>蠢人;
decoration,英 [dekren]美 [dkren],n. 装饰品; 装饰，装潢; 装饰图案，装饰风格; 奖章;
observer,英 [bz:v(r)]美 [bzrv(r)],n. 观察员; 遵守者，观察者; 观察团;
repo,英 ['ri:p]美 ['rpo],abbr. report 报告; 报告书; repossess 重新获得; repurchase a
portable,英 [p:tbl]美 [prtbl],adj. 轻便的; 手提的; n. 手提式打字机;
seed,英 [si:d]美 [sid],n. 种子; 子孙; 起源; （尤指网球比赛）种子选手; vt. 播种; 抽出种子选手; 除去…之种
incompatible,英 [nkmptbl]美 [nkmptbl],adj. 不相容; 矛盾，不能同时成立的; （与某物）不匹配; [医]配伍禁忌的;
house,英 [has]美 [has],n. 房屋; 全家人; （从事某种生意的）公司; （英国）下议院; v. 给…提供住房; 收藏; 安
honk,英 [hk]美 [hɑk],n. 雁叫声; 汽车的喇叭声; vt.& vi. （使）发出雁叫似的声音，鸣（喇叭），按（喇叭）;
sex,英 [seks]美 [sks],n. 性别; 两性之一; 性，性特征; 性活动; vt. 辨识性别; 引起性欲; 吸引;
dialog,英 ['dalg]美 ['dalg],n. 会话，对话; 问答，对白; 问答题，对话体; “dialogue”的变体; v. 对话; 用对
sensitive,英 [senstv]美 [snstv],adj. 敏感的; 感觉的; [仪]灵敏的; 易受影响的; n. 敏感的人; 有灵异能力的人;
judaism,英 [du:dezm]美 [dudzm],n. 犹太教; 犹太主义; （总称）犹太人;
octal,英 ['ktl]美 ['ktl],adj. 八进制的;
anaconda,英 [nknd]美 [nkɑnd],n. 水蟒（产于南美洲），似水蟒的大蟒;
angle,英 [gl]美 [ɡl],n. 角; [比喻]（考虑、问题的）角度; 观点; 轮廓鲜明的突出体; vt. 使形成（或弯成）角度
excellent,英 [ekslnt]美 [kslnt],adj. 优秀的; 卓越的; 杰出的; 太好了;
localization,英 [lkla'zen]美 [lokla'zen],n. 局部化; 地方化，局限，定位; 定域;
sampling,英 [sɑ:mpl]美 [smpl],n. 抽样; 取样; （乐曲的）节录; 选录;
strong,英 [str]美 [str],adj. 强烈的; 强的; 坚强的; 强壮的; adv. 强劲地; 猛烈地; 大大地; 坚强地;
material,英 [mtril]美 [mtril],n. 素材; 材料，原料; 布，织物; 适当人选; adj. 物质的; 肉体的; 重要的，决定性的;
blue,英 [blu:]美 [blu],n. 蓝色; [复数]（美国海、陆、空三军穿的）蓝色制服; 蓝颜料; [the blue(s)][用
stage,英 [sted]美 [sted],n. 阶段; 舞台; 戏剧; 驿站; vt.& vi. 上演，演出; 筹办，举行; 适于上演; 坐公
invocation,英 [nvken]美 [nvken],n. 祈祷; 乞求; 乞灵; 乞求神助;
digest,英 [dadest]美 [dadest],vt.& vi. 消化; 整理; vt. 吸收; 领悟; 玩味; vi. 消化; 吸收食物; [化学
teardown,英 ['tdan]美 ['terdown],n. 拆卸;
sound,英 [sand]美 [sand],n. 声音，声响; 音调，声调; 声波; 嘈杂声; vi. 响，发声; 听起来，好像; 回响; [音
accepted,英 [k'septd]美 [kseptd],adj. 公认的; 可以接受的; v. 接受(accept的过去式及过去分词);
customization,英 ['kstmazen]美 ['kstmazen],n. 用户化，专用化，定制;
greeting,英 [gri:t]美 [ɡrit],n. 招呼，问候; 敬礼; 祝贺; 欢迎辞; v. 迎接; 问候(greet的现在分词); 致敬;
board,英 [b:d]美 [brd],n. 板; 董事会; 甲板; 膳食; vt. 上（船、车或飞机）; 收费供…膳宿; 使搭伙，使寄宿;
talk,英 [t:k]美 [tk],v. 说话; 讨论; 讲，说; 说闲话; n. 交谈; 讨论; 报告; 空话;
university,英 [ju:nv:sti]美 [junvrsti],n. 综合性大学; 大学人员; 大学校舍;
